Freq.	I(R1)
1.43548943335364e+008	(-1.02240788508222e+002dB,-9.18148583210152e+001°)
1.43879857825583e+008	(-1.02179643594910e+002dB,-9.18191293704104e+001°)
1.44211535152486e+008	(-1.02118493244523e+002dB,-9.18234111082846e+001°)
1.44543977074592e+008	(-1.02057337430513e+002dB,-9.18277035652026e+001°)
1.44877185354475e+008	(-1.01996176126196e+002dB,-9.18320067715003e+001°)
1.45211161758773e+008	(-1.01935009304753e+002dB,-9.18363207578907e+001°)
1.45545908058195e+008	(-1.01873836939225e+002dB,-9.18406455549568e+001°)
1.45881426027534e+008	(-1.01812659002513e+002dB,-9.18449811936865e+001°)
1.46217717445671e+008	(-1.01751475467382e+002dB,-9.18493277047988e+001°)
1.46554784095590e+008	(-1.01690286306452e+002dB,-9.18536851195528e+001°)
1.46892627764385e+008	(-1.01629091492206e+002dB,-9.18580534689086e+001°)
1.47231250243271e+008	(-1.01567890996982e+002dB,-9.18624327843783e+001°)
1.47570653327588e+008	(-1.01506684792977e+002dB,-9.18668230971942e+001°)
1.47910838816819e+008	(-1.01445472852244e+002dB,-9.18712244390900e+001°)
1.48251808514594e+008	(-1.01384255146690e+002dB,-9.18756368415873e+001°)
1.48593564228699e+008	(-1.01323031648079e+002dB,-9.18800603364378e+001°)
1.48936107771090e+008	(-1.01261802328027e+002dB,-9.18844949556719e+001°)
1.49279440957898e+008	(-1.01200567158006e+002dB,-9.18889407311681e+001°)
1.49623565609442e+008	(-1.01139326109336e+002dB,-9.18933976952361e+001°)
1.49968483550236e+008	(-1.01078079153192e+002dB,-9.18978658800264e+001°)
1.50314196609001e+008	(-1.01016826260598e+002dB,-9.19023453178956e+001°)
1.50660706618673e+008	(-1.00955567402427e+002dB,-9.19068360416003e+001°)
1.51008015416413e+008	(-1.00894302549402e+002dB,-9.19113380835613e+001°)
1.51356124843619e+008	(-1.00833031672096e+002dB,-9.19158514766789e+001°)
1.51705036745932e+008	(-1.00771754740924e+002dB,-9.19203762538028e+001°)
1.52054752973248e+008	(-1.00710471726152e+002dB,-9.19249124480225e+001°)
